,x,y
525,40.331947,30.89442
526,31.320345,27.955616
527,30.686865,27.661161
528,90.987305,46.69346
529,83.15157,44.12579
530,79.027214,42.72952
531,59.83692,36.578075
532,58.54201,36.074852
533,54.821854,34.806164
534,49.962563,33.177933
535,41.097942,30.285522
536,40.170494,29.898277
537,39.57376,29.615414
538,39.01377,29.344149
539,29.89193,26.370562
540,79.131775,41.911858
541,58.94934,35.44727
542,39.391586,29.179844
543,29.314346,25.904701
544,74.80608,40.26301
545,40.329395,29.2868
546,29.590723,25.8029
547,76.11136,40.48595
548,44.427372,30.391191
549,32.2556,26.45496
550,85.24355,43.179256
551,60.28412,35.20693
552,44.32749,30.076105
553,37.373672,27.786798
554,28.803022,24.987175
555,78.99827,40.83002
556,73.29382,38.935036
557,55.205914,33.13153
558,44.246765,29.578037
559,37.476677,27.34671
560,29.16325,24.628277
561,90.63956,44.031704
562,86.36821,42.589043
563,81.7294,41.0304
564,78.41345,39.889286
565,75.464966,38.86415
566,72.920685,37.966606
567,60.85915,34.06517
568,55.301685,32.216576
569,50.221916,30.518757
570,43.525322,28.310627
571,35.652847,25.73137
572,34.541664,25.286135
573,28.102291,23.159193
574,85.977486,41.426018
575,76.41469,38.313248
576,61.413464,33.48397
577,59.86133,32.89956
578,50.335278,29.798393
579,43.491695,27.543873
580,34.36985,24.570274
581,33.515896,24.206224
582,27.921684,22.346035
583,87.37697,41.111576
584,81.45204,39.147015
585,74.60846,36.892494
586,62.032475,32.828682
587,61.839943,32.6734
588,61.867897,32.5877
589,62.07958,32.559998
590,62.217766,32.509094
591,73.23282,35.891193
592,76.75165,36.907307
593,79.24159,37.59867
594,81.327324,38.16246
595,84.29497,39.00461
596,86.56444,39.62639
597,89.2381,40.375744
598,27.193003,20.603754
599,30.785334,21.643068
600,30.886772,21.580564
601,30.951466,21.506466
602,30.57521,21.29319
603,27.296005,20.163673
604,26.846258,19.9272
605,85.89732,38.565163
606,84.08797,37.899574
607,81.06599,36.851242
608,75.98622,35.153423
609,73.77266,34.36025
610,61.74787,30.470413
611,61.18788,30.199156
612,53.53588,27.689476
613,48.162148,25.898874
614,47.896133,25.720392
615,41.9712,23.755821
616,32.812614,20.770634
617,28.908726,19.443953
618,27.797544,18.998716
619,26.392391,18.460695
620,84.929016,36.936287
621,79.37155,35.087696
622,76.42306,34.06256
623,62.19351,29.476852
624,54.945717,27.094751
625,50.49064,25.594103
626,47.5054,24.557367
627,47.202633,24.367287
628,46.495663,24.049639
629,37.851517,21.226816
630,26.377922,17.510946
631,86.67837,36.543243
632,85.93464,36.213985
633,81.001854,34.562557
634,77.3552,33.31707
635,76.8687,33.069
636,63.594543,28.784834
637,55.170876,26.031595
638,50.532066,24.472956
639,47.179367,23.32024
640,46.876602,23.130169
641,46.978043,23.067667
642,45.53615,22.518051
643,40.125668,20.715849
644,26.888256,16.443277
645,83.58757,34.33897
646,76.33978,31.956879
647,54.944725,25.109556
648,44.977722,21.869204
649,27.257278,16.18168
650,80.796425,33.079945
651,63.70067,27.589584
652,44.841095,21.54253
653,27.377874,15.93619
654,80.69654,32.764866
655,50.445663,23.122429
656,27.94822,15.927166
657,80.60546,32.54708
658,50.68529,23.009022
659,28.298086,15.8485565
660,80.33064,32.2713
661,63.087902,26.734558
662,41.582603,19.85244
663,87.95625,34.489098
664,78.61394,31.445915
665,44.467957,20.574091
666,29.87094,15.872393
667,78.70657,31.286114
668,44.303383,20.333113
669,29.89009,15.689407
670,78.24803,30.952354
671,41.052124,19.117897
672,87.572754,33.800945
673,64.48737,26.420116
674,36.29428,17.427164
675,86.489525,33.27001
676,54.585068,23.105673
677,31.830402,15.829224
678,79.453415,30.860214
679,46.336338,20.313135
680,30.783916,15.309891
681,64.81086,26.049622
682,47.751842,20.570864
683,40.540802,18.20036
684,85.00365,32.23392
685,79.7769,30.489721
686,73.88872,28.536747
687,54.624935,22.362106
688,51.823433,21.383362
689,45.898502,19.41879
690,40.194054,17.523817
691,33.093254,15.188107
692,81.414444,30.439457
693,80.30326,29.99422
694,79.44931,29.63017
695,76.61105,28.63983
696,76.19806,28.414965
697,76.00552,28.25968
698,74.673874,27.744858
699,74.66507,27.64756
700,74.84001,27.608255
701,74.94145,27.545752
702,74.9694,27.460062
703,75.18108,27.432354
704,79.17761,28.599237
705,80.969376,29.070244
706,33.255272,13.821476
707,39.08912,15.568256
708,45.21693,17.407825
709,45.649086,17.449705
710,45.383064,17.27122
711,41.552673,15.967735
712,33.56996,13.353683
713,81.780914,28.570238
714,80.11854,27.951035
715,65.96248,23.388515
716,53.90094,19.487078
717,45.330288,16.687452
718,37.935516,14.258972
719,86.587425,29.614704
720,82.05885,28.090855
721,81.1314,27.703608
722,79.06482,26.956823
723,76.04284,25.908495
724,65.67163,22.540575
725,64.74418,22.153328
726,53.56455,18.530243
727,50.395584,17.435522
