shape,xsd,pc,value,method
datadance_250_21,16.765,-0.065,28.18,transformation
datadance_250_22,16.765,-0.065,20.73,transformation
datadance_250_23,16.765,-0.065,17.629,transformation
datadance_250_24,16.765,-0.065,16.796,transformation
datadance_250_1,16.765,-0.065,22.17,sgd
datadance_250_2,16.765,-0.065,24.454,sgd
datadance_250_3,16.765,-0.065,26.85,sgd
datadance_250_4,16.765,-0.065,25.895,sgd
datadance_250_5,16.765,-0.065,21.954,sgd
datadance_250_6,16.765,-0.065,21.41,sgd
datadance_250_7,16.765,-0.065,18.79,sgd
datadance_250_8,16.765,-0.065,17.786,sgd
datadance_250_9,16.765,-0.065,24.112,sgd
datadance_250_10,16.765,-0.065,24.805,sgd
datadance_250_11,16.765,-0.065,30.8,sgd
datadance_250_12,16.765,-0.065,32.304,sgd
datadance_250_13,16.765,-0.065,28.108,sgd
datadance_250_14,16.765,-0.065,30.375,sgd
datadance_250_15,16.765,-0.065,28.784,sgd
datadance_250_16,16.765,-0.065,27.94,sgd
datadance_250_17,16.765,-0.065,26.403,sgd
datadance_250_18,16.765,-0.065,22.981,sgd
datadance_250_19,16.765,-0.065,35.951,sgd
datadance_250_20,16.765,-0.065,35.04,sgd
datadance_250_21,16.765,-0.065,34.384,sgd
datadance_250_22,16.765,-0.065,29.744,sgd
datadance_250_23,16.765,-0.065,25.39,sgd
datadance_250_24,16.765,-0.065,21.403,sgd
datadance_250_1,16.765,-0.065,23.616,DD
datadance_250_2,16.765,-0.065,29.439,DD
datadance_250_3,16.765,-0.065,25.894,DD
datadance_250_4,16.765,-0.065,26.187,DD
datadance_250_5,16.765,-0.065,27.726,DD
datadance_250_6,16.765,-0.065,23.965,DD
datadance_250_7,16.765,-0.065,24.906,DD
datadance_250_8,16.765,-0.065,23.708,DD
datadance_250_9,16.765,-0.065,25.387,DD
datadance_250_10,16.765,-0.065,25.49,DD
datadance_250_11,16.765,-0.065,32.483,DD
datadance_250_12,16.765,-0.065,33.369,DD
datadance_250_13,16.765,-0.065,29.957,DD
datadance_250_14,16.765,-0.065,30.135,DD
datadance_250_15,16.765,-0.065,30.607,DD
datadance_250_16,16.765,-0.065,34.623,DD
datadance_250_17,16.765,-0.065,29.138,DD
datadance_250_18,16.765,-0.065,26.148,DD
datadance_250_19,16.765,-0.065,39.866,DD
datadance_250_20,16.765,-0.065,43.0,DD
datadance_250_21,16.765,-0.065,44.069,DD
datadance_250_22,16.765,-0.065,32.847,DD
datadance_250_23,16.765,-0.065,29.164,DD
datadance_250_24,16.765,-0.065,29.232,DD
datadance_250_1,16.765,-0.065,8.564,DDDD
datadance_250_2,16.765,-0.065,12.851,DDDD
datadance_250_3,16.765,-0.065,8.65,DDDD
datadance_250_4,16.765,-0.065,10.28,DDDD
datadance_250_5,16.765,-0.065,15.242,DDDD
datadance_250_6,16.765,-0.065,12.048,DDDD
datadance_250_7,16.765,-0.065,11.63,DDDD
datadance_250_8,16.765,-0.065,8.313,DDDD
datadance_250_9,16.765,-0.065,11.803,DDDD
datadance_250_10,16.765,-0.065,12.295,DDDD
datadance_250_11,16.765,-0.065,18.756,DDDD
datadance_250_12,16.765,-0.065,21.411,DDDD
datadance_250_13,16.765,-0.065,13.884,DDDD
datadance_250_14,16.765,-0.065,15.631,DDDD
datadance_250_15,16.765,-0.065,15.163,DDDD
datadance_250_16,16.765,-0.065,15.271,DDDD
datadance_250_17,16.765,-0.065,14.104,DDDD
datadance_250_18,16.765,-0.065,10.762,DDDD
datadance_250_19,16.765,-0.065,25.207,DDDD
datadance_250_20,16.765,-0.065,27.079,DDDD
datadance_250_21,16.765,-0.065,27.323,DDDD
datadance_250_22,16.765,-0.065,21.151,DDDD
datadance_250_23,16.765,-0.065,16.836,DDDD
datadance_250_24,16.765,-0.065,13.991,DDDD
star_142,16.765,0.055,13.462,DD
star_142,16.765,0.155,14.117,DD
star_142,16.765,0.255,14.747,DD
star_142,16.765,0.355,15.774,DD
star_142,16.765,0.455,16.989,DD
star_142,16.765,0.555,19.586,DD
star_142,16.765,0.655,22.064,DD
star_142,16.765,0.755,24.244,DD
