,x,y
163,42.134697,83.24968
164,41.658943,83.2286
165,52.69485,78.64591
166,41.738327,82.77795
167,41.77802,82.55263
168,85.8026,64.89781
169,85.67047,64.74058
170,53.065132,77.45119
171,40.64165,81.74532
172,85.82925,63.839256
173,42.227688,80.90724
174,42.26738,80.68191
175,42.003136,80.367424
176,42.04283,80.14209
177,46.681858,78.303825
178,42.25434,79.84868
179,46.206104,78.28275
180,85.72377,62.62346
181,46.933064,77.78508
182,40.78738,80.01079
183,47.14457,77.491684
184,42.37342,79.1727
185,85.15559,62.219807
186,44.818535,77.99419
187,40.734642,79.40288
188,44.686413,77.836945
189,85.063156,61.837234
190,44.726105,77.61162
191,40.985847,78.88414
192,52.841145,74.186356
193,47.89818,75.93545
194,41.065235,78.43349
195,48.14938,75.41671
196,48.017258,75.25946
197,41.012497,77.82558
198,58.36591,70.94911
199,53.594753,72.63012
200,57.54652,71.06419
201,48.479973,74.44731
202,54.837162,71.928215
203,57.929848,70.702705
204,48.69148,74.1539
205,58.48499,70.27312
206,55.94744,71.06905
207,58.696495,69.97971
208,59.72739,69.57121
209,56.502583,70.639465
210,59.595272,69.413956
211,58.9477,69.46096
212,58.815575,69.30373
213,41.026108,75.93379
214,40.722168,75.84463
215,84.53523,58.48324
216,84.40311,58.325996
217,58.15496,68.5175
218,48.9166,71.96869
219,48.784473,71.811455
220,48.995987,71.518036
221,40.788513,74.560745
222,40.484573,74.47158
223,51.137165,70.25038
224,49.28688,70.773964
225,57.877674,67.369774
226,50.357468,70.140144
227,84.72066,56.523365
228,50.053528,70.05098
229,84.760345,56.29803
230,52.32683,68.94057
231,58.38008,66.33229
232,58.419773,66.10697
233,52.617725,68.196495
234,40.841812,72.44363
235,52.736805,67.5205
236,52.604683,67.363266
237,52.12893,67.342186
238,51.996803,67.184944
239,40.696644,71.45315
240,40.73634,71.22781
241,85.236664,53.594086
242,58.816704,63.853683
243,52.15558,66.28362
244,52.023457,66.12639
245,80.888535,54.688293
246,81.91943,54.27979
247,40.89511,70.32651
248,79.89733,54.87146
249,81.95912,54.054455
250,84.02092,53.23745
251,48.83834,66.96932
252,59.147293,62.884293
253,83.20152,53.352547
254,85.0915,52.603622
255,49.221664,66.60782
256,51.62709,65.65465
257,83.069405,53.195297
258,84.615746,52.582542
259,48.402283,66.72291
260,51.32315,65.56548
261,84.99908,52.22104
262,59.61001,62.072136
263,50.37164,65.52333
264,79.58035,53.94907
265,60.20484,61.41722
266,61.235737,61.008717
